_id__$oid	course	semester	count	lastUpdated__$date	lastStatus
5a13b0dece2097cd143dd158	ENGL-117-301	2018A	4	2018-02-10T21:30:03.055Z	FALSE
5a13b0e6ce2097cd143dd1e0	CIMS-102-401	2018A	17	2018-02-10T21:30:03.546Z	FALSE
5a13b0fbce2097cd143dd336	GSWS-242-301	2018A	6	2018-02-10T21:30:12.235Z	FALSE
5a13b0fcce2097cd143dd343	BIOL-124-102	2018A	17	2018-02-10T21:30:03.065Z	FALSE
5a13b175ce2097cd143dd9ca	ASAM-180-401	2018A	18	2018-02-10T21:30:04.465Z	FALSE
5a13b191ce2097cd143ddb93	WRIT-002-303	2018A	9	2018-02-10T21:30:03.140Z	FALSE
5a13b195ce2097cd143ddbce	BIBB-585-401	2018A	1	2017-11-29T19:45:18.188Z	TRUE
5a13b1c8ce2097cd143dde82	CHEM-102-004	2018A	1	2017-11-29T05:55:47.251Z	TRUE
5a13b1e0ce2097cd143ddff0	CRIM-200-401	2018A	1	2017-11-29T05:55:36.839Z	TRUE
5a13b1e6ce2097cd143de034	STAT-435-401	2018A	11	2018-02-10T21:30:13.403Z	FALSE
5a13b1fbce2097cd143de168	PSCI-183-001	2018A	9	2018-02-10T21:30:06.099Z	FALSE
5a13b204ce2097cd143de1e9	COML-101-401	2018A	7	2018-02-10T21:30:10.555Z	FALSE
5a13b211ce2097cd143de2c3	PSCI-183-204	2018A	9	2018-02-10T21:30:03.571Z	FALSE
5a13b220ce2097cd143de39e	NURS-225-109	2018A	1	2018-02-10T21:30:03.168Z	FALSE
5a13b22fce2097cd143de47b	NURS-225-108	2018A	1	2017-11-29T17:45:14.214Z	TRUE
5a13b235ce2097cd143de4c1	EAS-203-001	2018A	17	2018-02-10T21:30:12.464Z	FALSE
5a13b253ce2097cd143de685	PSYC-151-001	2018A	6	2018-02-10T21:30:18.374Z	FALSE
5a13b25dce2097cd143de71a	BIBB-475-302	2018A	3	2018-02-10T21:30:15.653Z	FALSE
5a13b25dce2097cd143de71f	HSOC-102-401	2018A	2	2018-01-09T18:00:08.371Z	TRUE
5a13b262ce2097cd143de771	ESE-224-101	2018A	1	2017-12-12T05:20:06.345Z	FALSE
5a13b272ce2097cd143de853	ESE-224-102	2018A	1	2017-12-12T05:20:06.375Z	FALSE
